"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"钉钉","获取当前用户下所有员工","","0","0","8","0","0"
"钉钉","获取角色详情","","0","31","0","0","0"
"钉钉","获取角色下员工列表","","0","31","0","0","0"
"钉钉","获取角色列表","","0","21","0","0","0"
"钉钉","获取部门下所有员工","","0","0","23","0","0"
"钉钉","获取部门下用户列表","","0","0","21","0","0"
"钉钉","获取用户上级详情","","0","0","8","0","0"
"钉钉","获取部门详情","","0","0","21","0","0"
"钉钉","获取当前登录人部门列表","","0","0","8","0","0"
"钉钉","获取用户详情","","0","0","8","0","0"
"钉钉","获取部门列表","","0","0","1","0","0"
